"Date","HI"
2012-07-03,18.3821320663026
2012-07-04,18.9348785237906
2012-07-05,17.2810809735252
2012-07-06,16.8048828920171
2012-07-07,17.7474312694021
2012-07-08,17.7742402372209
2012-07-09,18.1011921307697
2012-07-10,17.5029867505102
2012-07-11,16.5434623204681
2012-07-12,16.2002089001596
2012-07-13,16.5064860416518
2012-07-14,16.3013969795022
2012-07-15,15.3422574808805
2012-07-16,16.2626661651254
2012-07-17,18.8817537166218
2012-07-18,20.2199043708167
2012-07-19,17.939795877468
2012-07-20,16.4812740123336
2012-07-21,16.6683246239002
2012-07-22,17.6929864302803
2012-07-23,19.2513654869534
2012-07-24,21.0253673109187
2012-07-25,22.5965713009104
2012-07-26,23.3979882153895
2012-07-27,22.1242789072253
2012-07-28,19.3068988987337
2012-07-29,17.0559244501719
